Year_Cat,Year,Taxa,Effort,Frequency
2000-2003,2000,Bats,Fieldbased,0
2000-2003,2000,Bats,Opportunistic,0
2000-2003,2000,Bats,Scoping,0
2000-2003,2000,Birds,Fieldbased,2
2000-2003,2000,Birds,Opportunistic,1
2000-2003,2000,Birds,Scoping,0
2000-2003,2000,Herpetofauna,Fieldbased,0
2000-2003,2000,Herpetofauna,Opportunistic,0
2000-2003,2000,Herpetofauna,Scoping,0
2000-2003,2000,Invertebrates,Fieldbased,0
2000-2003,2000,Invertebrates,Opportunistic,0
2000-2003,2000,Invertebrates,Scoping,0
2000-2003,2000,Mammals,Fieldbased,0
2000-2003,2000,Mammals,Opportunistic,3
2000-2003,2000,Mammals,Scoping,0
2000-2003,2000,Vegetation,Fieldbased,3
2000-2003,2000,Vegetation,Opportunistic,0
2000-2003,2000,Vegetation,Scoping,0
2000-2003,2001,Bats,Fieldbased,0
2000-2003,2001,Bats,Opportunistic,0
2000-2003,2001,Bats,Scoping,0
2000-2003,2001,Birds,Fieldbased,0
2000-2003,2001,Birds,Opportunistic,1
2000-2003,2001,Birds,Scoping,0
2000-2003,2001,Herpetofauna,Fieldbased,0
2000-2003,2001,Herpetofauna,Opportunistic,0
2000-2003,2001,Herpetofauna,Scoping,0
2000-2003,2001,Invertebrates,Fieldbased,0
2000-2003,2001,Invertebrates,Opportunistic,0
2000-2003,2001,Invertebrates,Scoping,0
2000-2003,2001,Mammals,Fieldbased,0
2000-2003,2001,Mammals,Opportunistic,0
2000-2003,2001,Mammals,Scoping,1
2000-2003,2001,Vegetation,Fieldbased,1
2000-2003,2001,Vegetation,Opportunistic,0
2000-2003,2001,Vegetation,Scoping,0
2000-2003,2002,Bats,Fieldbased,0
2000-2003,2002,Bats,Opportunistic,0
2000-2003,2002,Bats,Scoping,0
2000-2003,2002,Birds,Fieldbased,1
2000-2003,2002,Birds,Opportunistic,3
2000-2003,2002,Birds,Scoping,0
2000-2003,2002,Herpetofauna,Fieldbased,0
2000-2003,2002,Herpetofauna,Opportunistic,0
2000-2003,2002,Herpetofauna,Scoping,0
2000-2003,2002,Invertebrates,Fieldbased,0
2000-2003,2002,Invertebrates,Opportunistic,0
2000-2003,2002,Invertebrates,Scoping,0
2000-2003,2002,Mammals,Fieldbased,0
2000-2003,2002,Mammals,Opportunistic,3
2000-2003,2002,Mammals,Scoping,0
2000-2003,2002,Vegetation,Fieldbased,4
2000-2003,2002,Vegetation,Opportunistic,0
2000-2003,2002,Vegetation,Scoping,0
2000-2003,2003,Bats,Fieldbased,0
2000-2003,2003,Bats,Opportunistic,0
2000-2003,2003,Bats,Scoping,0
2000-2003,2003,Birds,Fieldbased,4
2000-2003,2003,Birds,Opportunistic,1
2000-2003,2003,Birds,Scoping,0
2000-2003,2003,Herpetofauna,Fieldbased,0
2000-2003,2003,Herpetofauna,Opportunistic,4
2000-2003,2003,Herpetofauna,Scoping,0
2000-2003,2003,Invertebrates,Fieldbased,0
2000-2003,2003,Invertebrates,Opportunistic,1
2000-2003,2003,Invertebrates,Scoping,0
2000-2003,2003,Mammals,Fieldbased,0
2000-2003,2003,Mammals,Opportunistic,5
2000-2003,2003,Mammals,Scoping,0
2000-2003,2003,Vegetation,Fieldbased,5
2000-2003,2003,Vegetation,Opportunistic,0
2000-2003,2003,Vegetation,Scoping,0
2004-2007,2004,Bats,Fieldbased,1
2004-2007,2004,Bats,Opportunistic,0
2004-2007,2004,Bats,Scoping,2
2004-2007,2004,Birds,Fieldbased,6
2004-2007,2004,Birds,Opportunistic,0
2004-2007,2004,Birds,Scoping,0
2004-2007,2004,Herpetofauna,Fieldbased,0
2004-2007,2004,Herpetofauna,Opportunistic,4
2004-2007,2004,Herpetofauna,Scoping,0
2004-2007,2004,Invertebrates,Fieldbased,0
2004-2007,2004,Invertebrates,Opportunistic,1
2004-2007,2004,Invertebrates,Scoping,1
2004-2007,2004,Mammals,Fieldbased,1
2004-2007,2004,Mammals,Opportunistic,5
2004-2007,2004,Mammals,Scoping,0
2004-2007,2004,Vegetation,Fieldbased,6
2004-2007,2004,Vegetation,Opportunistic,0
2004-2007,2004,Vegetation,Scoping,0
2004-2007,2005,Bats,Fieldbased,0
2004-2007,2005,Bats,Opportunistic,0
2004-2007,2005,Bats,Scoping,1
2004-2007,2005,Birds,Fieldbased,5
2004-2007,2005,Birds,Opportunistic,0
2004-2007,2005,Birds,Scoping,1
2004-2007,2005,Herpetofauna,Fieldbased,0
2004-2007,2005,Herpetofauna,Opportunistic,1
2004-2007,2005,Herpetofauna,Scoping,0
2004-2007,2005,Invertebrates,Fieldbased,0
2004-2007,2005,Invertebrates,Opportunistic,0
2004-2007,2005,Invertebrates,Scoping,0
2004-2007,2005,Mammals,Fieldbased,1
2004-2007,2005,Mammals,Opportunistic,3
2004-2007,2005,Mammals,Scoping,2
2004-2007,2005,Vegetation,Fieldbased,5
2004-2007,2005,Vegetation,Opportunistic,0
2004-2007,2005,Vegetation,Scoping,1
2004-2007,2006,Bats,Fieldbased,1
2004-2007,2006,Bats,Opportunistic,0
2004-2007,2006,Bats,Scoping,0
2004-2007,2006,Birds,Fieldbased,4
2004-2007,2006,Birds,Opportunistic,0
2004-2007,2006,Birds,Scoping,0
2004-2007,2006,Herpetofauna,Fieldbased,0
2004-2007,2006,Herpetofauna,Opportunistic,2
2004-2007,2006,Herpetofauna,Scoping,0
2004-2007,2006,Invertebrates,Fieldbased,0
2004-2007,2006,Invertebrates,Opportunistic,1
2004-2007,2006,Invertebrates,Scoping,0
2004-2007,2006,Mammals,Fieldbased,1
2004-2007,2006,Mammals,Opportunistic,3
2004-2007,2006,Mammals,Scoping,0
2004-2007,2006,Vegetation,Fieldbased,4
2004-2007,2006,Vegetation,Opportunistic,0
2004-2007,2006,Vegetation,Scoping,0
2004-2007,2007,Bats,Fieldbased,0
2004-2007,2007,Bats,Opportunistic,0
2004-2007,2007,Bats,Scoping,3
2004-2007,2007,Birds,Fieldbased,6
2004-2007,2007,Birds,Opportunistic,1
2004-2007,2007,Birds,Scoping,2
2004-2007,2007,Herpetofauna,Fieldbased,0
2004-2007,2007,Herpetofauna,Opportunistic,4
2004-2007,2007,Herpetofauna,Scoping,1
2004-2007,2007,Invertebrates,Fieldbased,0
2004-2007,2007,Invertebrates,Opportunistic,2
2004-2007,2007,Invertebrates,Scoping,0
2004-2007,2007,Mammals,Fieldbased,2
2004-2007,2007,Mammals,Opportunistic,5
2004-2007,2007,Mammals,Scoping,2
2004-2007,2007,Vegetation,Fieldbased,9
2004-2007,2007,Vegetation,Opportunistic,0
2004-2007,2007,Vegetation,Scoping,0
2008-2011,2008,Bats,Fieldbased,2
2008-2011,2008,Bats,Opportunistic,0
2008-2011,2008,Bats,Scoping,2
2008-2011,2008,Birds,Fieldbased,9
2008-2011,2008,Birds,Opportunistic,0
2008-2011,2008,Birds,Scoping,0
2008-2011,2008,Herpetofauna,Fieldbased,1
2008-2011,2008,Herpetofauna,Opportunistic,2
2008-2011,2008,Herpetofauna,Scoping,0
2008-2011,2008,Invertebrates,Fieldbased,0
2008-2011,2008,Invertebrates,Opportunistic,0
2008-2011,2008,Invertebrates,Scoping,0
2008-2011,2008,Mammals,Fieldbased,4
2008-2011,2008,Mammals,Opportunistic,2
2008-2011,2008,Mammals,Scoping,3
2008-2011,2008,Vegetation,Fieldbased,8
2008-2011,2008,Vegetation,Opportunistic,0
2008-2011,2008,Vegetation,Scoping,1
2008-2011,2009,Bats,Fieldbased,5
2008-2011,2009,Bats,Opportunistic,0
2008-2011,2009,Bats,Scoping,8
2008-2011,2009,Birds,Fieldbased,17
2008-2011,2009,Birds,Opportunistic,5
2008-2011,2009,Birds,Scoping,0
2008-2011,2009,Herpetofauna,Fieldbased,2
2008-2011,2009,Herpetofauna,Opportunistic,17
2008-2011,2009,Herpetofauna,Scoping,1
2008-2011,2009,Invertebrates,Fieldbased,0
2008-2011,2009,Invertebrates,Opportunistic,8
2008-2011,2009,Invertebrates,Scoping,3
2008-2011,2009,Mammals,Fieldbased,9
2008-2011,2009,Mammals,Opportunistic,12
2008-2011,2009,Mammals,Scoping,1
2008-2011,2009,Vegetation,Fieldbased,22
2008-2011,2009,Vegetation,Opportunistic,0
2008-2011,2009,Vegetation,Scoping,0
2008-2011,2010,Bats,Fieldbased,9
2008-2011,2010,Bats,Opportunistic,0
2008-2011,2010,Bats,Scoping,2
2008-2011,2010,Birds,Fieldbased,15
2008-2011,2010,Birds,Opportunistic,0
2008-2011,2010,Birds,Scoping,0
2008-2011,2010,Herpetofauna,Fieldbased,0
2008-2011,2010,Herpetofauna,Opportunistic,9
2008-2011,2010,Herpetofauna,Scoping,0
2008-2011,2010,Invertebrates,Fieldbased,2
2008-2011,2010,Invertebrates,Opportunistic,3
2008-2011,2010,Invertebrates,Scoping,0
2008-2011,2010,Mammals,Fieldbased,1
2008-2011,2010,Mammals,Opportunistic,13
2008-2011,2010,Mammals,Scoping,0
2008-2011,2010,Vegetation,Fieldbased,14
2008-2011,2010,Vegetation,Opportunistic,0
2008-2011,2010,Vegetation,Scoping,1
2008-2011,2011,Bats,Fieldbased,6
2008-2011,2011,Bats,Opportunistic,0
2008-2011,2011,Bats,Scoping,4
2008-2011,2011,Birds,Fieldbased,10
2008-2011,2011,Birds,Opportunistic,0
2008-2011,2011,Birds,Scoping,2
2008-2011,2011,Herpetofauna,Fieldbased,0
2008-2011,2011,Herpetofauna,Opportunistic,5
2008-2011,2011,Herpetofauna,Scoping,0
2008-2011,2011,Invertebrates,Fieldbased,0
2008-2011,2011,Invertebrates,Opportunistic,1
2008-2011,2011,Invertebrates,Scoping,2
2008-2011,2011,Mammals,Fieldbased,4
2008-2011,2011,Mammals,Opportunistic,6
2008-2011,2011,Mammals,Scoping,0
2008-2011,2011,Vegetation,Fieldbased,9
2008-2011,2011,Vegetation,Opportunistic,0
2008-2011,2011,Vegetation,Scoping,0
2012-2015,2012,Bats,Fieldbased,5
2012-2015,2012,Bats,Opportunistic,0
2012-2015,2012,Bats,Scoping,3
2012-2015,2012,Birds,Fieldbased,10
2012-2015,2012,Birds,Opportunistic,0
2012-2015,2012,Birds,Scoping,0
2012-2015,2012,Herpetofauna,Fieldbased,1
2012-2015,2012,Herpetofauna,Opportunistic,5
2012-2015,2012,Herpetofauna,Scoping,0
2012-2015,2012,Invertebrates,Fieldbased,1
2012-2015,2012,Invertebrates,Opportunistic,2
2012-2015,2012,Invertebrates,Scoping,0
2012-2015,2012,Mammals,Fieldbased,3
2012-2015,2012,Mammals,Opportunistic,7
2012-2015,2012,Mammals,Scoping,0
2012-2015,2012,Vegetation,Fieldbased,10
2012-2015,2012,Vegetation,Opportunistic,0
2012-2015,2012,Vegetation,Scoping,0
2012-2015,2013,Bats,Fieldbased,8
2012-2015,2013,Bats,Opportunistic,0
2012-2015,2013,Bats,Scoping,2
2012-2015,2013,Birds,Fieldbased,10
2012-2015,2013,Birds,Opportunistic,0
2012-2015,2013,Birds,Scoping,0
2012-2015,2013,Herpetofauna,Fieldbased,0
2012-2015,2013,Herpetofauna,Opportunistic,7
2012-2015,2013,Herpetofauna,Scoping,2
2012-2015,2013,Invertebrates,Fieldbased,1
2012-2015,2013,Invertebrates,Opportunistic,4
2012-2015,2013,Invertebrates,Scoping,2
2012-2015,2013,Mammals,Fieldbased,3
2012-2015,2013,Mammals,Opportunistic,7
2012-2015,2013,Mammals,Scoping,0
2012-2015,2013,Vegetation,Fieldbased,10
2012-2015,2013,Vegetation,Opportunistic,0
2012-2015,2013,Vegetation,Scoping,0
2012-2015,2014,Bats,Fieldbased,3
2012-2015,2014,Bats,Opportunistic,0
2012-2015,2014,Bats,Scoping,2
2012-2015,2014,Birds,Fieldbased,5
