year_cat,Year,Taxa,Impact,Effect,Papers
2000-2003,2000,bats,direct,collision,0
2000-2003,2000,bats,direct,habitat_alteration,0
2000-2003,2000,bats,direct,invasive_spp,0
2000-2003,2000,bats,disturbance,increased_stress,0
2000-2003,2000,bats,disturbance,reduced_reprodution,0
2000-2003,2000,bats,disturbance,alteration_trophic_levels,0
2000-2003,2000,bats,disturbance,behavioural_change,0
2000-2003,2000,birds,direct,collision,0
2000-2003,2000,birds,direct,habitat_alteration,1
2000-2003,2000,birds,direct,invasive_spp,0
2000-2003,2000,birds,disturbance,increased_stress,0
2000-2003,2000,birds,disturbance,reduced_reprodution,0
2000-2003,2000,birds,disturbance,alteration_trophic_levels,0
2000-2003,2000,birds,disturbance,behavioural_change,0
2000-2003,2000,herpetofauna,direct,collision,0
2000-2003,2000,herpetofauna,direct,habitat_alteration,0
2000-2003,2000,herpetofauna,direct,invasive_spp,0
2000-2003,2000,herpetofauna,disturbance,increased_stress,0
2000-2003,2000,herpetofauna,disturbance,reduced_reprodution,0
2000-2003,2000,herpetofauna,disturbance,alteration_trophic_levels,0
2000-2003,2000,herpetofauna,disturbance,behavioural_change,0
2000-2003,2000,invertebrates,direct,collision,0
2000-2003,2000,invertebrates,direct,habitat_alteration,0
2000-2003,2000,invertebrates,direct,invasive_spp,0
2000-2003,2000,invertebrates,disturbance,increased_stress,0
2000-2003,2000,invertebrates,disturbance,reduced_reprodution,0
2000-2003,2000,invertebrates,disturbance,alteration_trophic_levels,0
2000-2003,2000,invertebrates,disturbance,behavioural_change,0
2000-2003,2000,mammals,direct,collision,0
2000-2003,2000,mammals,direct,habitat_alteration,0
2000-2003,2000,mammals,direct,invasive_spp,0
2000-2003,2000,mammals,disturbance,increased_stress,0
2000-2003,2000,mammals,disturbance,reduced_reprodution,0
2000-2003,2000,mammals,disturbance,alteration_trophic_levels,0
2000-2003,2000,mammals,disturbance,behavioural_change,0
2000-2003,2000,vegetation,direct,collision,0
2000-2003,2000,vegetation,direct,habitat_alteration,0
2000-2003,2000,vegetation,direct,invasive_spp,0
2000-2003,2000,vegetation,disturbance,increased_stress,0
2000-2003,2000,vegetation,disturbance,reduced_reprodution,0
2000-2003,2000,vegetation,disturbance,alteration_trophic_levels,0
2000-2003,2000,vegetation,disturbance,behavioural_change,0
2000-2003,2001,bats,direct,collision,0
2000-2003,2001,bats,direct,habitat_alteration,0
2000-2003,2001,bats,direct,invasive_spp,0
2000-2003,2001,bats,disturbance,increased_stress,0
2000-2003,2001,bats,disturbance,reduced_reprodution,0
2000-2003,2001,bats,disturbance,alteration_trophic_levels,0
2000-2003,2001,bats,disturbance,behavioural_change,0
2000-2003,2001,birds,direct,collision,0
2000-2003,2001,birds,direct,habitat_alteration,0
2000-2003,2001,birds,direct,invasive_spp,0
2000-2003,2001,birds,disturbance,increased_stress,0
2000-2003,2001,birds,disturbance,reduced_reprodution,0
2000-2003,2001,birds,disturbance,alteration_trophic_levels,0
2000-2003,2001,birds,disturbance,behavioural_change,0
2000-2003,2001,herpetofauna,direct,collision,0
2000-2003,2001,herpetofauna,direct,habitat_alteration,0
2000-2003,2001,herpetofauna,direct,invasive_spp,0
2000-2003,2001,herpetofauna,disturbance,increased_stress,0
2000-2003,2001,herpetofauna,disturbance,reduced_reprodution,0
2000-2003,2001,herpetofauna,disturbance,alteration_trophic_levels,0
2000-2003,2001,herpetofauna,disturbance,behavioural_change,0
2000-2003,2001,invertebrates,direct,collision,1
2000-2003,2001,invertebrates,direct,habitat_alteration,0
2000-2003,2001,invertebrates,direct,invasive_spp,0
2000-2003,2001,invertebrates,disturbance,increased_stress,0
2000-2003,2001,invertebrates,disturbance,reduced_reprodution,0
2000-2003,2001,invertebrates,disturbance,alteration_trophic_levels,0
2000-2003,2001,invertebrates,disturbance,behavioural_change,0
2000-2003,2001,mammals,direct,collision,0
2000-2003,2001,mammals,direct,habitat_alteration,0
2000-2003,2001,mammals,direct,invasive_spp,0
2000-2003,2001,mammals,disturbance,increased_stress,0
2000-2003,2001,mammals,disturbance,reduced_reprodution,0
2000-2003,2001,mammals,disturbance,alteration_trophic_levels,0
2000-2003,2001,mammals,disturbance,behavioural_change,0
2000-2003,2001,vegetation,direct,collision,0
2000-2003,2001,vegetation,direct,habitat_alteration,0
2000-2003,2001,vegetation,direct,invasive_spp,0
2000-2003,2001,vegetation,disturbance,increased_stress,0
2000-2003,2001,vegetation,disturbance,reduced_reprodution,0
2000-2003,2001,vegetation,disturbance,alteration_trophic_levels,0
2000-2003,2001,vegetation,disturbance,behavioural_change,0
2000-2003,2002,bats,direct,collision,0
2000-2003,2002,bats,direct,habitat_alteration,0
2000-2003,2002,bats,direct,invasive_spp,0
2000-2003,2002,bats,disturbance,increased_stress,0
2000-2003,2002,bats,disturbance,reduced_reprodution,0
2000-2003,2002,bats,disturbance,alteration_trophic_levels,0
2000-2003,2002,bats,disturbance,behavioural_change,0
2000-2003,2002,birds,direct,collision,1
2000-2003,2002,birds,direct,habitat_alteration,0
2000-2003,2002,birds,direct,invasive_spp,0
2000-2003,2002,birds,disturbance,increased_stress,0
2000-2003,2002,birds,disturbance,reduced_reprodution,0
2000-2003,2002,birds,disturbance,alteration_trophic_levels,0
2000-2003,2002,birds,disturbance,behavioural_change,0
2000-2003,2002,herpetofauna,direct,collision,0
2000-2003,2002,herpetofauna,direct,habitat_alteration,0
2000-2003,2002,herpetofauna,direct,invasive_spp,0
2000-2003,2002,herpetofauna,disturbance,increased_stress,0
2000-2003,2002,herpetofauna,disturbance,reduced_reprodution,0
2000-2003,2002,herpetofauna,disturbance,alteration_trophic_levels,0
2000-2003,2002,herpetofauna,disturbance,behavioural_change,0
