year,taxa,impact,effect,country,country_code,location,location_short,location_code,author,title,doi
2000,birds,direct,habitat_alteration,Denmark,DK,Europe,Europe,EU,Larsen & Madsen,Effects of wind turbines and other physical elements on field utilization by pink-footed geese (Anser brachyhynchus): A landscape perspective,https://doi.org/10.1023/A:1008127702944
2001,invertebrates,direct,collision,Denmark,DK,Europe,Europe,EU,Corten & Veldkamp,Insects can halve wind-turbine power.,https://doi-org.elib.tcd.ie/10.1038/35083698
2002,birds,direct,collision,USA,US,North America,N.America,NA,Johnson et al.,"Collision mortality of local and migrant birds at a large-scale wind power development on Buffalo Ridge, Minnesota",https://www.jstor.org/stable/3784243
2003,bats,direct,collision,USA,US,North America,N.America,NA,Johnson et al.,"Mortality of bats at a large-scale wind power development at Buffalo Ridge, Minnesota",https://doi.org/10.1674/0003-0031(2003)150[0332:MOBAAL]2.0.CO;2
2004,birds,direct,collision,Spain,ES,Europe,Europe,EU,de Lucas et al.,The effects of a wind farm on birds in a migration point: the Strait of Gibraltar,https://doi.org/10.1023/B:BIOC.0000006507.22024.93
2004,bats,direct,collision,USA,US,North America,N.America,NA,Johnson et al.,"Bat activity, composition, and collision mortality at a large wind plant in Minnesota",https://doi.org/10.2193/0091-7648(2004)032[1278:BACACM]2.0.CO;2
2005,birds,direct,reduced_reprodution,Spain,ES,Europe,Europe,EU,de Lucas et al.,A bird and small mammal BACI and IG design studies in a wind farm in Malpica (Spain),https://doi.org/10.1007/s10531-004-0447-z
2005,bats,direct,reduced_reprodution,Spain,ES,Europe,Europe,EU,de Lucas et al.,A bird and small mammal BACI and IG design studies in a wind farm in Malpica (Spain),https://doi.org/10.1007/s10531-004-0447-z
2006,birds,direct,collision,United Kingdom,UK,Europe,Europe,EU,Drewitt et al.,Assessing the impacts of wind farms on birds,10.1111/j.1474-919X.2006.00516.x
2006,mammals,disturbance,behavioural_change,USA,US,North America,N.America,NA,Rabin et al.,The effects of wind turbines on antipredator behaviour in California ground squirrels (Spermophilus beecheyi). ,https://doi.org/10.1016/j.biocon.2006.02.016
2007,bats,direct,collision,Multiple,MUL,North America,N.America,NA,Barclay et al.,Variation in bat and bird fatalities at wind energy facilities: assessing the effects of rotor size and tower height,https://doi.org/10.1139/Z07-011
2007,birds,direct,collision,Multiple,MUL,North America,N.America,NA,Barclay et al.,Variation in bat and bird fatalities at wind energy facilities: assessing the effects of rotor size and tower height,https://doi.org/10.1139/Z07-011
2008,bats,direct,collision,Multiple,MUL,North America,N.America,NA,Arnett et al. ,Patterns of bat fatalities at wind energy facilities in North America. ,https://doi.org/10.2193/2007-221
2008,bats,direct,collision,Canada,CA,North America,N.America,NA,Baerwald et al. ,Barotrauma is a significant cause of bat fatalities at wind turbines. ,https://doi.org/10.1016/j.cub.2008.06.029
2008,bats,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Cryan et al.,Mating Behavior as a Possible Cause of Bat Fatalities at Wind Turbines,https://doi.org/10.2193/2007-371
2008,birds,direct,collision,Spain,ES,Europe,Europe,EU,de Lucas et al.,Collision fatality of raptors in wind farms does not depend on raptor abundance.,https://doi.org/10.1111/j.1365-2664.2008.01549.x
2008,birds,direct,collision,United Kingdom,UK,Europe,Europe,EU,Bright et al.,Map of bird sensitivities to wind farms in Scotland: A tool to aid planning and conservation.,https://doi.org/10.1016/j.biocon.2008.06.029
2008,birds,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Drewitt et al.,Collision Effects of Wind?power Generators and Other Obstacles on Birds,10.1196/annals.1439.015
2008,birds,direct,habitat_alteration,United Kingdom,UK,Europe,Europe,EU,Pearce-Higgins et al.,Assessing the cumulative impacts of wind farms on peatland birds: a case study of golden plover Pluvialis apricaria in Scotland.,https://www.cabidigitallibrary.org/doi/full/10.5555/20103292080
2008,birds,direct,habitat_alteration,Denmark,DK,Europe,Europe,EU,Madsen & Boertmann,Animal behavioural adaptation to changing landscapes: spring-staging geese habituate to wind farms.,https://doi-org.elib.tcd.ie/10.1007/s10980-008-9269-9
2008,vegetation,direct,invasive_spp,Spain,ES,Europe,Europe,EU,Fraga et al.,Assessing the impact of wind farms on the plant diversity of blanket bogs in the Xistral Mountains (NW Spain),https://tethys.pnnl.gov/publications/assessing-impact-wind-farms-plant-diversity-blanket-bogs-xistral-mountains-nw-spain
2009,bats,direct,collision,Canada,CA,North America,N.America,NA,Baerwald et al. ,A large-scale mitigation experiment to reduce bat fatalities at wind energy facilities. ,https://doi-org.elib.tcd.ie/10.2193/2008-233
2009,birds,direct,habitat_alteration,United Kingdom,UK,Europe,Europe,EU,Pearce-Higgins et al.,The distribution of breeding birds around upland wind farms,10.1111/j.1365-2664.2009.01715.x
2009,birds,direct,habitat_alteration,USA,US,North America,N.America,NA,Pruett et al. ,Avoidance Behavior by Prairie Grouse: Implications for Development of Wind Energy,https://www.jstor.org/stable/40419698
2010,birds,direct,habitat_alteration,Spain,ES,Europe,Europe,EU,Martinez et al.,Potential impact of wind farms on territories of large eagles in southeastern Spain,https://doi.org/10.1007/s10531-010-9925-7
2011,bats,direct,collision,USA,US,North America,N.America,NA,Arnett et al.,Altering turbine speed reduces bat mortality at wind-energy facilities.,https://doi.org/10.1890/100103
2011,herpetofauna,disturbance,reduced_reprodution,USA,US,North America,N.America,NA,Lovich et al. ,"Effects of wind energy production on growth, demography, and survivorship of a Desert Tortoise (Gopherus agassizii) population in Southern California with comparisons to natural populations",http://pubs.er.usgs.gov/publication/70036078
2011,herpetofauna,disturbance,reduced_reprodution,USA,US,North America,N.America,NA,Lovich et al. ,"Long-Term Post-Fire Effects on Spatial Ecology and Reproductive Output of Female Agassiz’s Desert Tortoises (Gopherus agassizii) at a Wind Energy Facility near Palm Springs, California, USA",10.4996/fireecology.0703075
2011,invertebrates,direct,collision,United Kingdom,UK,Europe,Europe,EU,Long et al.,Insect attraction to wind turbines: does colour play a role?,https://doi.org/10.1007/s10344-010-0432-7
2012,bats,direct,collision,Spain,ES,Europe,Europe,EU,Ferrer et al.,Weak relationship between risk assessment studies and recorded mortality in wind farms.,https://doi.org/10.1111/j.1365-2664.2011.02054.x
2012,birds,direct,collision,Spain,ES,Europe,Europe,EU,Ferrer et al.,Weak relationship between risk assessment studies and recorded mortality in wind farms.,https://doi.org/10.1111/j.1365-2664.2011.02054.x
2012,birds,direct,habitat_alteration,United Kingdom,UK,Europe,Europe,EU,Pearce-Higgins et al.,Greater impacts of wind farms on bird populations during construction than subsequent operation: results of a multi-site and multi-species analysis,10.1111/j.1365-2664.2012.02110.x
2012,mammals,direct,habitat_alteration,Sweden,SE,Europe,Europe,EU,Helldin et al.,The impacts of wind power on terrestrial mammals.,http://space.hgo.se/wpcvi/wp-content/uploads/import/pdf/Kunskapsdatabas%20miljo/20130506/The%20impacts%20of%20wind%20power%20on%20terrestrial%20mammals.pdf
2013,bats,direct,habitat_alteration,Italy,IT,Europe,Europe,EU,Roscioni et al.,Regional-scale modelling of the cumulative impact of wind farms on bats. ,https://doi.org/10.1007/s10531-013-0515-3
2013,birds,direct,habitat_alteration,USA,US,North America,N.America,NA,Stevens et al.,An analysis of displacement from wind turbines in a wintering grassland bird community,https://doi.org/10.1007/s10531-013-0510-8
2013,invertebrates,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Sagol et al.,Issues concerning roughtness on wind turbine blades.,https://doi.org/10.1016/j.rser.2013.02.034
2013,mammals,direct,habitat_alteration,Multiple,MUL,Multiple,Multiple,MUL,Lovich et al. ,Assessing the state of knowledge of utility-scale wind energy development and operation on non-volant terrestrial and marine wildlife.,https://doi.org/10.1016/j.apenergy.2012.10.001
2013,vegetation,direct,habitat_alteration,USA,US,North America,N.America,NA,Root et al.,Wind farm potential is higher in prime habitat for uncommon soil crust lichens,10.1186/2192-1709-2-10
2014,bats,direct,collision,USA,US,North America,N.America,NA,Cryan et al.,Behaviour of bats at wind turbines.,https://doi.org/10.1073/pnas.1406672111
2014,birds,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Marques et al.,Understanding bird collisions at wind farms: An updated review on the causes and possible mitigation strategies.,https://doi.org/10.1016/j.biocon.2014.08.017
2014,birds,direct,collision,Multiple,MUL,North America,N.America,NA,Erickson et al.,A Comprehensive Analysis of Small-Passerine Fatalities from Collision with Turbines at Wind Energy Facilities,10.1371/journal.pone.0107491
2014,birds,direct,habitat_alteration,Italy,IT,Europe,Europe,EU,Campedelli et al.,Raptor displacement due to the construction of a wind farm: preliminary results after the first 2 years since the construction,10.1080/03949370.2013.862305
2014,vegetation,direct,habitat_alteration,Multiple,MUL,Multiple,Multiple,MUL,Armstrong et al.,Wind farm and solar park effects on plant–soil carbon cycling: uncertain impacts of changes in ground-level microclimate,10.1111/gcb.12437
