year,bats,birds,herpetofauna,invertebrates,mammals,vegetation
2000,0,0.333333333,0,0,0.333333333,0.333333333
2001,0,0.333333333,0,0,0.333333333,0.333333333
2002,0,0.363636364,0,0,0.272727273,0.363636364
2003,0,0.25,0.2,0.05,0.25,0.25
2004,0.111111111,0.222222222,0.148148148,0.074074074,0.222222222,0.222222222
2005,0.05,0.3,0.05,0,0.3,0.3
2006,0.0625,0.25,0.125,0.0625,0.25,0.25
2007,0.081081081,0.243243243,0.135135135,0.054054054,0.243243243,0.243243243
2008,0.117647059,0.264705882,0.088235294,0,0.264705882,0.264705882
2009,0.118181818,0.2,0.181818182,0.1,0.2,0.2
2010,0.15942029,0.217391304,0.130434783,0.072463768,0.202898551,0.217391304
2011,0.2,0.24,0.1,0.04,0.2,0.22
2012,0.12,0.2,0.2,0.08,0.2,0.2
2013,0.170731707,0.170731707,0.170731707,0.146341463,0.170731707,0.170731707
2014,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
2015,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
2016,0.2,0.2,0.2,0,0.2,0.2
2017,0.181818182,0.181818182,0.181818182,0.090909091,0.181818182,0.181818182
2018,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
2019,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
2020,0.181818182,0.181818182,0.090909091,0.181818182,0.181818182,0.181818182
2021,0.2,0.2,0.1,0.1,0.2,0.2
