year,bats,birds,herpetofauna,invertebrates,mammals,vegetation
2000,0,1,0,0,0,0
2001,0,0,0,1,0,0
2002,0,1,0,0,0,0
2003,1,0,0,0,0,0
2004,0.5,0.5,0,0,0,0
2005,0.5,0.5,0,0,0,0
2006,0,0.5,0,0,0.5,0
2007,0.5,0.5,0,0,0,0
2008,0.333333333,0.555555556,0,0,0,0.111111111
2009,0.333333333,0.666666667,0,0,0,0
2010,0,1,0,0,0,0
2011,0.25,0,0.5,0.25,0,0
2012,0.25,0.5,0,0,0.25,0
2013,0.2,0.2,0,0.2,0.2,0.2
2014,0.2,0.6,0,0,0,0.2
2015,0.375,0.375,0.125,0.125,0,0
2016,0.25,0.333333333,0,0.166666667,0.166666667,0.083333333
2017,0.416666667,0.166666667,0.083333333,0,0.166666667,0.166666667
2018,0.25,0.25,0.083333333,0.083333333,0.25,0.083333333
2019,0.125,0.25,0.25,0,0.125,0.25
2020,0.461538462,0.307692308,0.076923077,0.076923077,0.076923077,0
2021,0.444444444,0.111111111,0,0.111111111,0.222222222,0.111111111
